M,second,sonic,detach,von,thrid,uevon,uedetach
1.83,1.6084,2.1198,3.4727,3.4727,6.016,19.964,26.992
1.84,1.6148,2.1274,3.4994,3.4994,6.1091,20.349,27.68
1.85,1.6213,2.1351,3.5264,3.5264,6.2037,20.786,28.226
1.86,1.6281,2.1429,3.5535,3.5535,6.2998,21.188,28.943
1.87,1.6349,2.1509,3.5809,3.5809,6.3976,21.64,29.515
1.88,1.642,2.1615,3.6086,3.6086,6.497,22.06,30.26
1.89,1.6492,2.1697,3.6365,3.6365,6.598,22.489,30.86
1.9,1.6565,2.178,3.6646,3.6646,6.7006,22.966,31.635
1.91,1.664,2.1865,3.693,3.693,6.805,23.414,32.425
1.92,1.6717,2.1976,3.7217,3.7217,6.9111,23.907,33.07
1.93,1.6795,2.2063,3.7506,3.7506,7.0189,24.374,33.892
1.94,1.6875,2.2152,3.7798,3.7798,7.1284,24.851,34.568
1.95,1.6957,2.2241,3.8092,3.8092,7.2398,25.372,35.423
1.96,1.704,2.2358,3.8389,3.8389,7.353,25.869,36.13
1.97,1.7124,2.245,3.8689,3.8689,7.468,26.408,37.02
1.98,1.7211,2.2544,3.8992,3.8992,7.5849,26.927,37.926
1.99,1.7298,2.2665,3.9297,3.9297,7.7037,27.457,38.685
2,1.7388,2.2761,3.9605,3.9605,7.8244,28.026,39.628
2.01,1.7479,2.2886,3.9916,3.9916,7.9471,28.579,40.422
2.02,1.7571,2.2985,4.0229,4.0229,8.0718,29.168,41.403
2.03,1.7665,2.3112,4.0546,4.0546,8.1985,29.744,42.234
2.04,1.7761,2.3214,4.0865,4.0865,8.3273,30.331,43.254
2.05,1.7858,2.3316,4.1187,4.1187,8.4581,30.954,44.294
2.06,1.7957,2.3448,4.1512,4.1512,8.5911,31.567,45.184
2.07,1.8058,2.3553,4.1841,4.1841,8.7262,32.212,46.266
2.08,1.816,2.3688,4.2172,4.2172,8.8635,32.85,47.196
2.09,1.8264,2.3825,4.2506,4.2506,9.003,33.501,48.145
2.1,1.8369,2.3935,4.2843,4.2843,9.1447,34.182,49.468
2.11,1.8476,2.4074,4.3183,4.3183,9.2887,34.86,50.463
2.12,1.8585,2.4186,4.3527,4.3527,9.435,35.567,51.479
2.13,1.8695,2.4329,4.3873,4.3873,9.5836,36.273,52.515
2.14,1.8807,2.4444,4.4223,4.4223,9.7347,37.005,53.572
2.15,1.892,2.459,4.4576,4.4576,9.8881,37.74,54.651
2.16,1.9035,2.4738,4.4932,4.4932,10.044,38.49,55.752
2.17,1.9152,2.4857,4.5291,4.5291,10.202,39.263,57.626
2.18,1.927,2.5008,4.5654,4.5654,10.363,40.044,58.786
2.19,1.939,2.5161,4.602,4.602,10.527,40.845,59.97
2.2,1.9512,2.5284,4.6389,4.6389,10.693,41.658,61.177
2.21,1.9636,2.544,4.6762,4.6762,10.861,42.486,62.409
2.22,1.9761,2.5597,4.7138,4.7138,11.033,43.334,63.665
2.23,1.9888,2.5725,4.7518,4.7518,11.207,44.196,64.947
2.24,2.0016,2.5886,4.7901,4.7901,11.384,45.074,67.032
2.25,2.0146,2.6049,4.8287,4.8287,11.563,45.971,68.38
2.26,2.0278,2.6213,4.8678,4.8678,11.746,46.886,69.756
2.27,2.0412,2.6347,4.9071,4.9071,11.931,47.814,71.159
2.28,2.0547,2.6514,4.9469,4.9469,12.119,48.765,72.589
2.29,2.0684,2.6684,4.9869,4.9869,12.31,49.727,74.048
2.3,2.0823,2.6855,5.0274,5.0383,12.504,50.717,76.34
2.31,2.0964,2.6995,5.0682,5.078,12.701,51.714,77.86
2.32,2.1106,2.7169,5.1094,5.1242,12.902,52.742,79.423
2.33,2.125,2.7346,5.151,5.1709,13.105,53.792,81.017
2.34,2.1396,2.7524,5.193,5.2115,13.312,54.845,82.642
2.35,2.1544,2.7704,5.2353,5.2589,13.521,55.936,84.299
2.36,2.1693,2.7886,5.2781,5.3067,13.734,57.028,85.989
2.37,2.1844,2.8069,5.3212,5.3549,13.951,58.161,88.534
2.38,2.1998,2.822,5.3647,5.4035,14.17,59.293,90.306
2.39,2.2153,2.8407,5.4087,5.4526,14.393,60.471,92.113
2.4,2.2309,2.8596,5.453,5.502,14.62,61.672,93.955
2.41,2.2468,2.8787,5.4977,5.5519,14.85,62.867,95.832
2.42,2.2628,2.898,5.5428,5.6022,15.084,64.115,97.747
2.43,2.2791,2.9175,5.5884,5.653,15.321,65.355,100.59
2.44,2.2955,2.9372,5.6343,5.7041,15.562,66.651,102.54
2.45,2.3121,2.957,5.6807,5.7557,15.806,67.935,104.59
2.46,2.3289,2.9771,5.7275,5.8151,16.054,69.281,106.67
2.47,2.3459,2.9974,5.7748,5.8676,16.306,70.654,108.79
2.48,2.3631,3.0178,5.8224,5.9206,16.562,72.01,110.96
2.49,2.3805,3.0385,5.8705,5.974,16.822,73.435,113.16
2.5,2.398,3.0593,5.9191,6.0367,17.086,74.888,116.29
2.51,2.4158,3.0804,5.968,6.0939,17.354,76.369,118.6
2.52,2.4338,3.1016,6.0174,6.1518,17.626,77.778,120.95
2.53,2.4519,3.123,6.0673,6.2104,17.902,79.314,123.34
2.54,2.4703,3.1447,6.1176,6.2698,18.182,80.88,125.79
2.55,2.4888,3.1665,6.1684,6.3299,18.466,82.475,128.27
2.56,2.5076,3.1886,6.2196,6.3908,18.755,84.102,131.71
2.57,2.5266,3.2109,6.2713,6.4525,19.048,85.759,134.31
2.58,2.5458,3.2333,6.3235,6.5149,19.346,87.448,136.96
2.59,2.5651,3.256,6.3762,6.5782,19.648,89.169,139.66
2.6,2.5847,3.2789,6.4293,6.6422,19.954,90.922,142.41
2.61,2.6045,3.3061,6.4829,6.707,20.265,92.439,145.21
2.62,2.6245,3.3294,6.537,6.7726,20.581,94.254,148.07
2.63,2.6447,3.353,6.5915,6.839,20.901,96.104,151.91
2.64,2.6652,3.3768,6.6466,6.9062,21.227,97.989,154.89
2.65,2.6858,3.4008,6.7021,6.9742,21.557,99.91,157.93
2.66,2.7067,3.425,6.7582,7.0431,21.892,101.87,161.02
2.67,2.7277,3.4494,6.8148,7.1127,22.232,103.86,164.17
2.68,2.749,3.474,6.8718,7.1833,22.577,105.89,167.38
